OFFENSE_LATITUDE,OFFENSE_LONGITUDE,CATEGORY,Total_Occurrences,Weighted_Crime_Score
38.9009,-77.0184,Burglary,1,6
38.9009,-77.0184,Disorderly Conduct,1,1
38.9009,-77.0184,Liquor Law Violations,2,2
38.9009,-77.0184,Prostitution,5,30
38.9009,-77.0184,Simple Assault,5,5
38.9009,-77.0184,Theft,1,1
38.9009,-77.0184,Traffic Violations,3,6
38.9009,-77.0184,Weapon Violations,2,2
38.9009,-77.0173,Driving/Boating While Intoxicated,1,1
38.9009,-77.0173,Release Violations/Fugitive,1,1
38.9009,-77.0173,Sex Abuse,1,9
38.9009,-77.0173,Simple Assault,4,4
38.9009,-77.0173,Theft,4,4
38.9009,-77.0173,Traffic Violations,1,2
38.9009,-77.0161, rcotics,1,1
38.9009,-77.0161,Driving/Boating While Intoxicated,1,1
38.9009,-77.0161,Release Violations/Fugitive,1,1
38.9009,-77.0161,Simple Assault,3,3
38.9009,-77.0161,Traffic Violations,2,4
38.9009,-77.015, rcotics,1,1
38.9009,-77.015,Assault with a Dangerous Weapon,1,8
38.9009,-77.015,Driving/Boating While Intoxicated,5,5
38.9009,-77.015,Other Crimes,1,1
38.9009,-77.015,Sex Abuse,1,9
38.9009,-77.015,Simple Assault,1,1
38.9009,-77.015,Traffic Violations,4,8
38.9009,-77.0138, rcotics,1,1
38.9009,-77.0138,Traffic Violations,1,2
38.9009,-77.0127,Assault with a Dangerous Weapon,1,8
38.9009,-77.0127,Driving/Boating While Intoxicated,2,2
38.9009,-77.0127,Kid pping,1,1
38.9009,-77.0115,Assault with a Dangerous Weapon,1,8
38.9009,-77.0115,Driving/Boating While Intoxicated,1,1
38.9009,-77.0115,Other Crimes,1,1
38.9009,-77.0115,Release Violations/Fugitive,1,1
38.9009,-77.0115,Robbery,1,7
38.9009,-77.0115,Simple Assault,3,3
38.9009,-77.0115,Theft,5,5
38.9009,-77.0115,Traffic Violations,2,4
38.9009,-77.0115,Weapon Violations,1,1
38.9009,-77.0092,Damage to Property,1,1
38.9009,-77.0092,Driving/Boating While Intoxicated,1,1
38.9009,-77.0092,Fraud and Fi ncial Crimes,3,3
38.9009,-77.0092,Property Crimes,1,1
38.9009,-77.0092,Prostitution,1,6
38.9009,-77.0092,Release Violations/Fugitive,1,1
38.9009,-77.0092,Simple Assault,3,3
38.9009,-77.0092,Theft,3,3
38.9009,-77.0092,Traffic Violations,2,4
38.9009,-77.0081, rcotics,1,1
38.9009,-77.0081,Assault on a Police Officer,2,2
38.9009,-77.0081,Damage to Property,2,2
38.9009,-77.0081,Fraud and Fi ncial Crimes,2,2
38.9009,-77.0081,Other Crimes,1,1
38.9009,-77.0081,Release Violations/Fugitive,1,1
38.9009,-77.0081,Robbery,1,7
38.9009,-77.0081,Sex Offenses,2,20
38.9009,-77.0081,Simple Assault,2,2
38.9009,-77.0081,Weapon Violations,1,1
38.9009,-77.0069,Damage to Property,1,1
38.9009,-77.0069,Fraud and Fi ncial Crimes,1,1
38.9009,-77.0069,Property Crimes,1,1
38.9009,-77.0069,Simple Assault,2,2
38.9009,-77.0069,Theft,1,1
38.9009,-77.0069,Traffic Violations,1,2
38.9009,-77.0035,Disorderly Conduct,1,1
38.9009,-77.0035,Prostitution,1,6
38.9009,-77.0035,Release Violations/Fugitive,2,2
38.9009,-77.0035,Robbery,1,7
38.9009,-77.0035,Sex Abuse,1,9
38.9009,-77.0035,Sex Offenses,1,10
38.9009,-77.0035,Simple Assault,2,2
38.9009,-77.0023,Damage to Property,1,1
38.9009,-77.0023,Disorderly Conduct,1,1
38.9009,-77.0023,Driving/Boating While Intoxicated,2,2
38.9009,-77.0023,Offenses Against Family & Children,1,1
38.9009,-77.0023,Simple Assault,1,1
38.9009,-77.0023,Traffic Violations,1,2
38.9009,-77.0023,Weapon Violations,1,1
38.9009,-77.0012,Assault on a Police Officer,5,5
38.9009,-77.0012,Driving/Boating While Intoxicated,1,1
38.9009,-77.0012,Liquor Law Violations,2,2
38.9009,-77.0012,Other Crimes,4,4
38.9009,-77.0012,Property Crimes,1,1
38.9009,-77.0012,Release Violations/Fugitive,3,3
38.9009,-77.0012,Simple Assault,10,10
38.9009,-77.0012,Theft,27,27
38.9009,-77.0012,Traffic Violations,9,18
38.9009,-77.0012,Vending Violations,1,1
38.9009,-77, rcotics,1,1
38.9009,-77,Assault with a Dangerous Weapon,3,24
38.9009,-77,Burglary,1,6
38.9009,-77,Damage to Property,2,2
38.9009,-77,Driving/Boating While Intoxicated,1,1
38.9009,-77,Property Crimes,1,1
38.9009,-77,Prostitution,2,12
38.9009,-77,Release Violations/Fugitive,1,1
38.9009,-77,Simple Assault,3,3
38.9009,-77,Traffic Violations,8,16
38.9009,-76.9988,Assault on a Police Officer,1,1
38.9009,-76.9988,Disorderly Conduct,1,1
38.9009,-76.9988,Liquor Law Violations,4,4
38.9009,-76.9988,Motor Vehicle Theft,1,1
38.9009,-76.9988,Other Crimes,2,2
38.9009,-76.9988,Release Violations/Fugitive,1,1
38.9009,-76.9988,Simple Assault,1,1
38.9009,-76.9988,Traffic Violations,4,8
38.9009,-76.9977,Disorderly Conduct,1,1
38.9009,-76.9977,Driving/Boating While Intoxicated,4,4
38.9009,-76.9977,Liquor Law Violations,1,1
38.9009,-76.9977,Property Crimes,1,1
38.9009,-76.9977,Release Violations/Fugitive,2,2
38.9009,-76.9977,Robbery,2,14
38.9009,-76.9977,Simple Assault,7,7
38.9009,-76.9977,Theft,5,5
38.9009,-76.9977,Traffic Violations,13,26
38.9009,-76.9977,Weapon Violations,2,2
38.9009,-76.9965, rcotics,2,2
38.9009,-76.9965,Disorderly Conduct,1,1
38.9009,-76.9965,Fraud and Fi ncial Crimes,2,2
38.9009,-76.9965,Liquor Law Violations,2,2
38.9009,-76.9965,Property Crimes,1,1
38.9009,-76.9965,Release Violations/Fugitive,1,1
38.9009,-76.9965,Simple Assault,5,5
38.9009,-76.9965,Theft,2,2
38.9009,-76.9965,Traffic Violations,2,4
38.9009,-76.9965,Vending Violations,1,1
38.9009,-76.9965,Weapon Violations,1,1
38.9009,-76.9954, rcotics,7,7
38.9009,-76.9954,Aggravated Assault,1,1
38.9009,-76.9954,Assault on a Police Officer,2,2
38.9009,-76.9954,Assault with a Dangerous Weapon,1,8
38.9009,-76.9954,Damage to Property,1,1
38.9009,-76.9954,Disorderly Conduct,7,7
38.9009,-76.9954,Driving/Boating While Intoxicated,4,4
38.9009,-76.9954,Fraud and Fi ncial Crimes,1,1
38.9009,-76.9954,Liquor Law Violations,6,6
38.9009,-76.9954,Other Crimes,1,1
38.9009,-76.9954,Property Crimes,2,2
38.9009,-76.9954,Prostitution,1,6
38.9009,-76.9954,Release Violations/Fugitive,14,14
38.9009,-76.9954,Robbery,2,14
38.9009,-76.9954,Simple Assault,6,6
38.9009,-76.9954,Theft,1,1
38.9009,-76.9954,Traffic Violations,15,30
38.9009,-76.9954,Vending Violations,2,2
38.9009,-76.9954,Weapon Violations,1,1
38.9009,-76.9942, rcotics,15,15
38.9009,-76.9942,Assault on a Police Officer,1,1
38.9009,-76.9942,Assault with a Dangerous Weapon,3,24
38.9009,-76.9942,Burglary,1,6
38.9009,-76.9942,Damage to Property,3,3
38.9009,-76.9942,Disorderly Conduct,6,6
38.9009,-76.9942,Driving/Boating While Intoxicated,4,4
38.9009,-76.9942,Fraud and Fi ncial Crimes,1,1
38.9009,-76.9942,Liquor Law Violations,4,4
38.9009,-76.9942,Offenses Against Family & Children,1,1
38.9009,-76.9942,Property Crimes,3,3
38.9009,-76.9942,Release Violations/Fugitive,8,8
38.9009,-76.9942,Robbery,4,28
38.9009,-76.9942,Sex Offenses,1,10
38.9009,-76.9942,Simple Assault,5,5
38.9009,-76.9942,Theft,3,3
38.9009,-76.9942,Traffic Violations,4,8
38.9009,-76.9942,Weapon Violations,2,2
38.9009,-76.9931, rcotics,7,7
38.9009,-76.9931,Assault on a Police Officer,1,1
38.9009,-76.9931,Assault with a Dangerous Weapon,1,8
38.9009,-76.9931,Burglary,1,6
38.9009,-76.9931,Damage to Property,2,2
38.9009,-76.9931,Disorderly Conduct,3,3
38.9009,-76.9931,Driving/Boating While Intoxicated,4,4
38.9009,-76.9931,Liquor Law Violations,1,1
38.9009,-76.9931,Property Crimes,2,2
38.9009,-76.9931,Release Violations/Fugitive,3,3
38.9009,-76.9931,Simple Assault,9,9
38.9009,-76.9931,Theft,5,5
38.9009,-76.9931,Traffic Violations,13,26
38.9009,-76.9931,Weapon Violations,1,1
38.9009,-76.9919, rcotics,1,1
38.9009,-76.9919,Disorderly Conduct,1,1
38.9009,-76.9919,Driving/Boating While Intoxicated,3,3
38.9009,-76.9919,Other Crimes,1,1
38.9009,-76.9919,Prostitution,1,6
38.9009,-76.9919,Release Violations/Fugitive,1,1
38.9009,-76.9919,Simple Assault,5,5
38.9009,-76.9919,Traffic Violations,11,22
38.9009,-76.9908, rcotics,11,11
38.9009,-76.9908,Aggravated Assault,1,1
38.9009,-76.9908,Assault on a Police Officer,2,2
38.9009,-76.9908,Assault with a Dangerous Weapon,3,24
38.9009,-76.9908,Damage to Property,2,2
38.9009,-76.9908,Disorderly Conduct,2,2
38.9009,-76.9908,Driving/Boating While Intoxicated,2,2
38.9009,-76.9908,Fraud and Fi ncial Crimes,1,1
38.9009,-76.9908,Kid pping,1,1
38.9009,-76.9908,Liquor Law Violations,9,9
38.9009,-76.9908,Property Crimes,2,2
38.9009,-76.9908,Release Violations/Fugitive,7,7
38.9009,-76.9908,Simple Assault,16,16
38.9009,-76.9908,Theft,2,2
38.9009,-76.9908,Traffic Violations,16,32
38.9009,-76.9908,Weapon Violations,1,1
38.9009,-76.9896, rcotics,1,1
38.9009,-76.9896,Assault on a Police Officer,3,3
38.9009,-76.9896,Assault with a Dangerous Weapon,2,16
38.9009,-76.9896,Damage to Property,1,1
38.9009,-76.9896,Disorderly Conduct,2,2
38.9009,-76.9896,Motor Vehicle Theft,1,1
38.9009,-76.9896,Other Crimes,1,1
38.9009,-76.9896,Robbery,6,42
38.9009,-76.9896,Simple Assault,12,12
38.9009,-76.9896,Theft,2,2
38.9009,-76.9896,Traffic Violations,1,2
38.9009,-76.9885,Aggravated Assault,1,1
38.9009,-76.9885,Assault on a Police Officer,1,1
38.9009,-76.9885,Burglary,2,12
38.9009,-76.9885,Disorderly Conduct,10,10
38.9009,-76.9885,Driving/Boating While Intoxicated,3,3
38.9009,-76.9885,Property Crimes,1,1
38.9009,-76.9885,Robbery,1,7
38.9009,-76.9885,Sex Offenses,1,10
38.9009,-76.9885,Simple Assault,11,11
38.9009,-76.9885,Traffic Violations,2,4
38.9009,-76.9873, rcotics,1,1
38.9009,-76.9873,Aggravated Assault,2,2
38.9009,-76.9873,Assault with a Dangerous Weapon,4,32
38.9009,-76.9873,Damage to Property,2,2
38.9009,-76.9873,Disorderly Conduct,1,1
38.9009,-76.9873,Liquor Law Violations,3,3
38.9009,-76.9873,Release Violations/Fugitive,1,1
38.9009,-76.9873,Simple Assault,9,9
38.9009,-76.9873,Theft,1,1
38.9009,-76.9873,Traffic Violations,1,2
38.9009,-76.9862, rcotics,1,1
38.9009,-76.9862,Aggravated Assault,1,1
38.9009,-76.9862,Assault on a Police Officer,3,3
38.9009,-76.9862,Assault with a Dangerous Weapon,3,24
38.9009,-76.9862,Burglary,1,6
38.9009,-76.9862,Damage to Property,2,2
38.9009,-76.9862,Disorderly Conduct,4,4
38.9009,-76.9862,Driving/Boating While Intoxicated,4,4
38.9009,-76.9862,Liquor Law Violations,2,2
38.9009,-76.9862,Other Crimes,2,2
38.9009,-76.9862,Property Crimes,1,1
38.9009,-76.9862,Prostitution,1,6
38.9009,-76.9862,Release Violations/Fugitive,12,12
38.9009,-76.9862,Robbery,1,7
38.9009,-76.9862,Sex Offenses,1,10
38.9009,-76.9862,Simple Assault,13,13
38.9009,-76.9862,Theft,3,3
38.9009,-76.9862,Traffic Violations,7,14
38.9009,-76.9862,Weapon Violations,1,1
38.9009,-76.985, rcotics,6,6
38.9009,-76.985,Assault on a Police Officer,2,2
38.9009,-76.985,Assault with a Dangerous Weapon,3,24
38.9009,-76.985,Disorderly Conduct,4,4
38.9009,-76.985,Driving/Boating While Intoxicated,3,3
38.9009,-76.985,Liquor Law Violations,4,4
38.9009,-76.985,Other Crimes,2,2
38.9009,-76.985,Property Crimes,2,2
38.9009,-76.985,Prostitution,1,6
38.9009,-76.985,Release Violations/Fugitive,13,13
38.9009,-76.985,Robbery,5,35
38.9009,-76.985,Simple Assault,2,2
38.9009,-76.985,Traffic Violations,12,24
38.9009,-76.985,Weapon Violations,1,1
38.9009,-76.9839, rcotics,6,6
38.9009,-76.9839,Assault on a Police Officer,1,1
38.9009,-76.9839,Assault with a Dangerous Weapon,2,16
38.9009,-76.9839,Damage to Property,1,1
38.9009,-76.9839,Disorderly Conduct,2,2
38.9009,-76.9839,Driving/Boating While Intoxicated,3,3
38.9009,-76.9839,Fraud and Fi ncial Crimes,1,1
38.9009,-76.9839,Liquor Law Violations,1,1
38.9009,-76.9839,Property Crimes,2,2
38.9009,-76.9839,Release Violations/Fugitive,10,10
38.9009,-76.9839,Sex Offenses,1,10
38.9009,-76.9839,Simple Assault,6,6
38.9009,-76.9839,Traffic Violations,13,26
38.9009,-76.9827, rcotics,44,44
38.9009,-76.9827,Assault on a Police Officer,5,5
38.9009,-76.9827,Assault with a Dangerous Weapon,1,8
38.9009,-76.9827,Damage to Property,2,2
38.9009,-76.9827,Disorderly Conduct,4,4
38.9009,-76.9827,Driving/Boating While Intoxicated,4,4
38.9009,-76.9827,Liquor Law Violations,10,10
38.9009,-76.9827,Other Crimes,3,3
38.9009,-76.9827,Property Crimes,2,2
38.9009,-76.9827,Prostitution,1,6
38.9009,-76.9827,Release Violations/Fugitive,35,35
38.9009,-76.9827,Robbery,1,7
38.9009,-76.9827,Simple Assault,7,7
38.9009,-76.9827,Traffic Violations,17,34
38.9009,-76.9827,Vending Violations,1,1
38.9009,-76.9827,Weapon Violations,1,1
38.9009,-76.9816, rcotics,8,8
38.9009,-76.9816,Assault on a Police Officer,1,1
38.9009,-76.9816,Assault with a Dangerous Weapon,1,8
38.9009,-76.9816,Disorderly Conduct,1,1
38.9009,-76.9816,Liquor Law Violations,1,1
38.9009,-76.9816,Release Violations/Fugitive,1,1
38.9009,-76.9816,Robbery,1,7
38.9009,-76.9816,Sex Offenses,1,10
38.9009,-76.9816,Simple Assault,4,4
38.9009,-76.9804, rcotics,3,3
38.9009,-76.9804,Assault on a Police Officer,2,2
38.9009,-76.9804,Damage to Property,1,1
38.9009,-76.9804,Disorderly Conduct,1,1
38.9009,-76.9804,Other Crimes,3,3
38.9009,-76.9804,Release Violations/Fugitive,2,2
38.9009,-76.9804,Simple Assault,7,7
38.9009,-76.9804,Theft,3,3
38.9009,-76.9804,Traffic Violations,2,4
38.9009,-76.9804,Vending Violations,1,1
38.9009,-76.9804,Weapon Violations,1,1
38.9009,-76.9792, rcotics,12,12
38.9009,-76.9792,Assault on a Police Officer,18,18
38.9009,-76.9792,Assault with a Dangerous Weapon,8,64
38.9009,-76.9792,Driving/Boating While Intoxicated,1,1
38.9009,-76.9792,Liquor Law Violations,2,2
38.9009,-76.9792,Other Crimes,34,34
38.9009,-76.9792,Property Crimes,11,11
38.9009,-76.9792,Release Violations/Fugitive,10,10
38.9009,-76.9792,Robbery,3,21
38.9009,-76.9792,Sex Offenses,1,10
38.9009,-76.9792,Simple Assault,15,15
38.9009,-76.9792,Theft,116,116
38.9009,-76.9792,Traffic Violations,9,18
38.9009,-76.9792,Weapon Violations,2,2
38.9009,-76.9781, rcotics,5,5
38.9009,-76.9781,Assault on a Police Officer,1,1
38.9009,-76.9781,Assault with a Dangerous Weapon,2,16
38.9009,-76.9781,Damage to Property,1,1
38.9009,-76.9781,Driving/Boating While Intoxicated,2,2
38.9009,-76.9781,Offenses Against Family & Children,1,1
38.9009,-76.9781,Other Crimes,1,1
38.9009,-76.9781,Property Crimes,2,2
38.9009,-76.9781,Release Violations/Fugitive,3,3
38.9009,-76.9781,Simple Assault,5,5
38.9009,-76.9781,Traffic Violations,4,8
38.9009,-76.9781,Weapon Violations,1,1
38.9009,-76.9769, rcotics,1,1
38.9009,-76.9769,Aggravated Assault,1,1
38.9009,-76.9769,Assault with a Dangerous Weapon,5,40
38.9009,-76.9769,Burglary,1,6
38.9009,-76.9769,Release Violations/Fugitive,8,8
38.9009,-76.9769,Robbery,1,7
38.9009,-76.9769,Simple Assault,8,8
38.9009,-76.9769,Theft,1,1
38.9009,-76.9769,Traffic Violations,3,6
38.9009,-76.9769,Weapon Violations,3,3
38.9009,-76.9758, rcotics,14,14
38.9009,-76.9758,Assault on a Police Officer,2,2
38.9009,-76.9758,Assault with a Dangerous Weapon,2,16
38.9009,-76.9758,Driving/Boating While Intoxicated,2,2
38.9009,-76.9758,Liquor Law Violations,1,1
38.9009,-76.9758,Offenses Against Family & Children,1,1
38.9009,-76.9758,Other Crimes,1,1
38.9009,-76.9758,Release Violations/Fugitive,4,4
38.9009,-76.9758,Simple Assault,15,15
38.9009,-76.9758,Traffic Violations,1,2
38.9009,-76.9758,Weapon Violations,3,3
38.9009,-76.9746,Damage to Property,1,1
38.9009,-76.9746,Offenses Against Family & Children,1,1
38.9009,-76.9746,Release Violations/Fugitive,1,1
38.9009,-76.9746,Simple Assault,5,5
38.9009,-76.9746,Traffic Violations,2,4
38.9009,-76.9735,Homicide,1,8
38.9009,-76.9735,Robbery,1,7
38.9009,-76.9735,Simple Assault,5,5
38.9009,-76.9735,Theft,1,1
38.9009,-76.9735,Traffic Violations,1,2
38.901,-77.059,Simple Assault,2,2
38.901,-77.056,Driving/Boating While Intoxicated,1,1
38.901,-77.056,Traffic Violations,2,4
38.901,-77.055,Damage to Property,1,1
38.901,-77.055,Driving/Boating While Intoxicated,1,1
38.901,-77.055,Theft,1,1
38.901,-77.054,Damage to Property,1,1
38.901,-77.054,Narcotics,1,5
38.901,-77.054,Other Crimes,1,1
38.901,-77.053,Burglary,1,6
38.901,-77.053,Offenses Against Family & Children,1,1
38.901,-77.052,Damage to Property,1,1
38.901,-77.052,Driving/Boating While Intoxicated,1,1
38.901,-77.052,Liquor Law Violations,1,1
38.901,-77.052,Offenses Against Family & Children,1,1
38.901,-77.052,Other Crimes,1,1
38.901,-77.052,Release Violations,1,1
38.901,-77.052,Release Violations/Fugitive,1,1
38.901,-77.052,Robbery,3,21
38.901,-77.052,Simple Assault,10,10
38.901,-77.052,Theft,5,5
38.901,-77.052,Traffic Violations,4,8
38.901,-77.052,Weapon Violations,3,3
38.901,-77.051,Assault on a Police Officer,1,1
38.901,-77.051,Offenses Against Family & Children,3,3
38.901,-77.051,Other Crimes,3,3
38.901,-77.051,Property Crimes,1,1
38.901,-77.051,Release Violations,6,6
38.901,-77.051,Sex Offenses,1,10
38.901,-77.051,Simple Assault,5,5
38.901,-77.051,Theft,1,1
38.901,-77.05,Assault on a Police Officer,1,1
38.901,-77.05,Assault with a Dangerous Weapon,1,8
38.901,-77.05,Burglary,1,6
38.901,-77.05,Disorderly Conduct,1,1
38.901,-77.05,Other Crimes,4,4
38.901,-77.05,Release Violations,1,1
38.901,-77.05,Sex Offenses,1,10
38.901,-77.05,Simple Assault,4,4
38.901,-77.05,Traffic Violations,3,6
38.901,-77.049,Assault on a Police Officer,3,3
38.901,-77.049,Other Crimes,12,12
38.901,-77.049,Release Violations,2,2
38.901,-77.049,Release Violations/Fugitive,1,1
38.901,-77.049,Sex Offenses,2,20
38.901,-77.049,Simple Assault,10,10
38.901,-77.049,Theft,25,25
38.901,-77.049,Traffic Violations,2,4
38.901,-77.049,Weapon Violations,2,2
38.901,-77.048,Other Crimes,1,1
38.901,-77.048,Property Crimes,2,2
38.901,-77.048,Simple Assault,2,2
38.901,-77.048,Traffic Violations,1,2
38.901,-77.047,Damage to Property,1,1
38.901,-77.047,Liquor Law Violations,1,1
38.901,-77.047,Release Violations/Fugitive,1,1
38.901,-77.047,Release Violations/Fugitive (Warr),1,1
38.901,-77.047,Simple Assault,3,3
38.901,-77.047,Theft,3,3
38.901,-77.047,Traffic Violations,1,2
38.901,-77.045,Traffic Violations,9,18
38.901,-77.044,Simple Assault,3,3
38.901,-77.044,Theft,6,6
38.901,-77.044,Traffic Violations,11,22
38.901,-77.043,Damage to Property,1,1
38.901,-77.043,Property Crimes,1,1
38.901,-77.043,Release Violations/Fugitive (Warr),1,1
38.901,-77.043,Sex Abuse,1,9
38.901,-77.043,Simple Assault,1,1
38.901,-77.043,Weapon Violations,1,1
38.901,-77.042,Simple Assault,1,1
38.901,-77.042,Traffic Violations,3,6
38.901,-77.041,Driving/Boating While Intoxicated,1,1
38.901,-77.041,Release Violations,1,1
38.901,-77.041,Traffic Violations,2,4
38.901,-77.04,Assault with a Dangerous Weapon,1,8
38.901,-77.04,Damage to Property,1,1
38.901,-77.04,Disorderly Conduct,2,2
38.901,-77.04,Fraud and Financial Crimes,3,3
38.901,-77.04,Narcotics,1,5
38.901,-77.04,Other Crimes,2,2
38.901,-77.04,Sex Offenses,1,10
38.901,-77.04,Simple Assault,9,9
38.901,-77.04,Theft,1,1
38.901,-77.04,Traffic Violations,4,8
38.901,-77.04,Weapon Violations,3,3
38.901,-77.039,Driving/Boating While Intoxicated,1,1
38.901,-77.039,Other Crimes,1,1
38.901,-77.039,Simple Assault,4,4
38.901,-77.039,Traffic Violations,5,10
38.901,-77.038,Damage to Property,1,1
38.901,-77.038,Other Crimes,1,1
38.901,-77.038,Weapon Violations,1,1
38.901,-77.037,Assault on a Police Officer,6,6
38.901,-77.037,Damage to Property,2,2
38.901,-77.037,Disorderly Conduct,17,17
38.901,-77.037,Driving/Boating While Intoxicated,1,1
38.901,-77.037,Offenses Against Family & Children,44,44
38.901,-77.037,Other Crimes,3,3
38.901,-77.037,Property Crimes,1,1
38.901,-77.037,Release Violations/Fugitive,2,2
38.901,-77.037,Robbery,1,7
38.901,-77.037,Simple Assault,11,11
38.901,-77.037,Traffic Violations,4,8
38.901,-77.037,Weapon Violations,4,4
38.901,-77.035,Assault on a Police Officer,2,2
38.901,-77.035,Assault with a Dangerous Weapon,2,16
38.901,-77.035,Disorderly Conduct,1,1
38.901,-77.035,Driving/Boating While Intoxicated,1,1
38.901,-77.035,Simple Assault,4,4
38.901,-77.035,Traffic Violations,2,4
38.901,-77.034,Assault on a Police Officer,1,1
38.901,-77.034,Assault with a Dangerous Weapon,1,8
38.901,-77.034,Driving/Boating While Intoxicated,1,1
38.901,-77.034,Offenses Against Family & Children,1,1
38.901,-77.034,Other Crimes,2,2
38.901,-77.034,Simple Assault,3,3
38.901,-77.033,Assault on a Police Officer,1,1
38.901,-77.033,Assault with a Dangerous Weapon,1,8
38.901,-77.033,Release Violations,1,1
38.901,-77.033,Simple Assault,7,7
38.901,-77.033,Theft,1,1
38.901,-77.033,Traffic Violations,1,2
38.901,-77.032,Assault on a Police Officer,3,3
38.901,-77.032,Disorderly Conduct,4,4
38.901,-77.032,Driving/Boating While Intoxicated,2,2
38.901,-77.032,Narcotics,2,10
38.901,-77.032,Other Crimes,5,5
38.901,-77.032,Property Crimes,2,2
38.901,-77.032,Release Violations,2,2
38.901,-77.032,Release Violations/Fugitive,3,3
38.901,-77.032,Sex Offenses,1,10
38.901,-77.032,Simple Assault,28,28
38.901,-77.032,Theft,3,3
38.901,-77.032,Traffic Violations,5,10
38.901,-77.032,Weapon Violations,3,3
38.901,-77.031,Assault with a Dangerous Weapon,1,8
38.901,-77.031,Other Crimes,2,2
38.901,-77.031,Simple Assault,2,2
38.901,-77.031,Theft,1,1
38.901,-77.03,Arson,1,1
38.901,-77.03,Damage to Property,1,1
38.901,-77.03,Driving/Boating While Intoxicated,3,3
38.901,-77.03,Release Violations/Fugitive,1,1
38.901,-77.03,Simple Assault,8,8
38.901,-77.03,Theft,1,1
38.901,-77.03,Traffic Violations,2,4
38.901,-77.03,Weapon Violations,2,2
38.901,-77.029,Aggravated Assault,1,1
38.901,-77.029,Assault on a Police Officer,9,9
38.901,-77.029,Assault with a Dangerous Weapon,4,32
38.901,-77.029,Damage to Property,7,7
38.901,-77.029,Liquor Law Violations,1,1
38.901,-77.029,Narcotics,1,5
38.901,-77.029,Other Crimes,17,17
38.901,-77.029,Property Crimes,1,1
38.901,-77.029,Release Violations/Fugitive,4,4
38.901,-77.029,Release Violations/Fugitive (Warr),2,2
38.901,-77.029,Robbery,2,14
38.901,-77.029,Simple Assault,11,11
38.901,-77.029,Theft,1,1
38.901,-77.029,Traffic Violations,1,2
38.901,-77.028,Damage to Property,1,1
38.901,-77.027,Assault on a Police Officer,2,2
38.901,-77.027,Damage to Property,1,1
38.901,-77.027,Release Violations/Fugitive (Warr),1,1
38.901,-77.027,Simple Assault,3,3
38.901,-77.027,Theft,4,4
38.901,-77.027,Traffic Violations,5,10
38.901,-77.027,Weapon Violations,2,2
38.901,-77.026,Assault on a Police Officer,1,1
38.901,-77.026,Burglary,2,12
38.901,-77.026,Driving/Boating While Intoxicated,1,1
38.901,-77.026,Narcotics,1,5
38.901,-77.026,Other Crimes,2,2
38.901,-77.026,Release Violations/Fugitive,1,1
38.901,-77.026,Simple Assault,5,5
38.901,-77.026,Theft,6,6
38.901,-77.026,Traffic Violations,3,6
38.901,-77.025,Assault on a Police Officer,1,1
38.901,-77.025,Driving/Boating While Intoxicated,2,2
38.901,-77.025,Fraud and Financial Crimes,2,2
38.901,-77.025,Fraud and Financial Crimes (Frau),1,1
38.901,-77.025,Release Violations/Fugitive (Warr),1,1
38.901,-77.025,Robbery,1,7
38.901,-77.025,Simple Assault,5,5
38.901,-77.025,Theft,8,8
38.901,-77.025,Theft from Auto,1,1
38.901,-77.025,Traffic Violations,4,8
38.901,-77.025,Weapon Violations,4,4
38.901,-77.024,Driving/Boating While Intoxicated,1,1
38.901,-77.024,Simple Assault,1,1
38.901,-77.024,Theft,2,2
38.901,-77.024,Traffic Violations,1,2
38.901,-77.024,Weapon Violations,1,1
38.901,-77.023,Damage to Property,1,1
38.901,-77.023,Other Crimes,2,2
38.901,-77.023,Release Violations/Fugitive,1,1
38.901,-77.023,Simple Assault,6,6
38.901,-77.023,Theft,1,1
38.901,-77.023,Theft from Auto,2,2
38.901,-77.023,Traffic Violations,2,4
38.901,-77.023,Vending Violations,1,1
38.901,-77.023,Weapon Violations,4,4
38.901,-77.022,Aggravated Assault,2,2
38.901,-77.022,Assault with a Dangerous Weapon,1,8
38.901,-77.022,Damage to Property,1,1
38.901,-77.022,Driving/Boating While Intoxicated,2,2
38.901,-77.022,Fraud and Financial Crimes,5,5
38.901,-77.022,Homicide,1,8
38.901,-77.022,Liquor Law Violations,2,2
38.901,-77.022,Narcotics,4,20
38.901,-77.022,Property Crimes,1,1
38.901,-77.022,Release Violations,1,1
38.901,-77.022,Release Violations/Fugitive,4,4
38.901,-77.022,Release Violations/Fugitive (Warr),2,2
38.901,-77.022,Robbery,2,14
38.901,-77.022,Simple Assault,11,11
38.901,-77.022,Theft,1,1
38.901,-77.022,Traffic Violations,11,22
38.901,-77.022,Weapon Violations,3,3
38.901,-77.021,Assault with a Dangerous Weapon,1,8
38.901,-77.021,Damage to Property,1,1
38.901,-77.021,Driving/Boating While Intoxicated,1,1
38.901,-77.021,Liquor Law Violations,1,1
38.901,-77.021,Narcotics,1,5
38.901,-77.021,Property Crimes,3,3
38.901,-77.021,Release Violations,2,2
38.901,-77.021,Release Violations/Fugitive,2,2
38.901,-77.021,Release Violations/Fugitive (Warr),3,3
38.901,-77.021,Robbery,4,28
38.901,-77.021,Simple Assault,10,10
38.901,-77.021,Traffic Violations,4,8
38.901,-77.021,Weapon Violations,2,2
38.901,-77.02,Aggravated Assault,2,2
